name	media type	episode count	dates aired	rating	url
Suntory CMs	Special	8	2014-03-28 00:00:00	5.04	https://myanimelist.net/anime/33904/Suntory_CMs
Green Dakara x Bakemono no Ko	ONA	2	2015-06-24 00:00:00	5.18	https://myanimelist.net/anime/31108/Green_Dakara_x_Bakemono_no_Ko
Bakemono no Ko	Movie	1	2015-07-11 00:00:00	8.44	https://myanimelist.net/anime/28805/Bakemono_no_Ko
Suntory Minami Alps no Tennensui	Special	3	2016-08-09 00:00:00	6.04	https://myanimelist.net/anime/33902/Suntory_Minami_Alps_no_Tennensui
Kimi no Na wa.	Movie	1	2016-08-26 00:00:00	9.12	https://myanimelist.net/anime/32281/Kimi_no_Na_wa
Green Dakara x Mirai no Mirai	ONA	2	2018-07-13 00:00:00	5.21	https://myanimelist.net/anime/38028/Green_Dakara_x_Mirai_no_Mirai
Mirai no Mirai	Movie	1	2018-07-20 00:00:00	7.46	https://myanimelist.net/anime/36936/Mirai_no_Mirai
Tenki no Ko CMs	Special	Unknown	2019-06-30 00:00:00	6.44	https://myanimelist.net/anime/40034/Tenki_no_Ko_CMs
Tenki no Ko	Movie	1	2019-07-19 00:00:00	8.88	https://myanimelist.net/anime/38826/Tenki_no_Ko
Kimi no Na wa.	Manga	NULL	NULL	8.59	https://myanimelist.net/manga/99314/Kimi_no_Na_wa
Kimi no Na wa. Another Side: Earthbound	Novel	NULL	NULL	8.24	https://myanimelist.net/manga/100051/Kimi_no_Na_wa_Another_Side__Earthbound
Kimi no Na wa. Another Side: Earthbound	Manga	NULL	NULL	8.14	https://myanimelist.net/manga/108023/Kimi_no_Na_wa_Another_Side__Earthbound
Bakemono no Ko	Manga	NULL	NULL	7.92	https://myanimelist.net/manga/87921/Bakemono_no_Ko
Bakemono no Ko	Novel	NULL	NULL	7.95	https://myanimelist.net/manga/89988/Bakemono_no_Ko
